keyword,intent,niche,url_count,total_sessions,avg_sessions,total_clicks,avg_ctr,potential,best_url,best_clicks
farmhouse dining room,room-ideas,Home Decor,1,6,6,1,16.67,3.85,dinezoa.com/farmhouse-dining-room/,1
anniversary gift for parents,general,Lifestyle,1,48,48,3,6.25,3.85,lovorae.com/anniversary-gift-for-parents/,3
living room ideas modern,room-ideas,Home Decor,1,6,6,1,16.67,3.85,glamorora.com/living-room-ideas-modern/,1
luxury bedroom,room-ideas,Home Decor,1,6,6,1,16.67,3.85,glamorora.com/luxury-bedroom/,1
bathroom sink ideas,product-specific,Home Decor,1,6,6,1,16.67,3.85,cozybathroomdecor.com/bathroom-sink-ideas/,1
outhouse bathroom ideas,room-ideas,Home Decor,1,6,6,1,16.67,3.85,cozybathroomdecor.com/outhouse-bathroom-ideas/,1
tattoo ideas for men small hand,tattoo,Tattoo,1,23,23,2,8.7,3.83,themaleedit.com/tattoo-ideas-for-men-small-hand/,2
pergola ideas backyard,product-specific,Garden/Outdoor,1,58,58,5,8.62,3.83,lawnoria.com/pergola-ideas-backyard/,5
apartment patio privacy ideas,room-ideas,Garden/Outdoor,1,29,29,3,10.34,3.83,softlyoutdoor.com/apartment-patio-privacy-ideas/,3
ideas for pet memorial garden,room-ideas,Garden/Outdoor,1,58,58,5,8.62,3.83,moonlightyard.com/ideas-for-pet-memorial-garden/,5
beige and olive green living room,room-ideas,Home Decor,1,65,65,5,7.69,3.82,lylastudio.com/beige-and-olive-green-living-room/,5
bathroom cabinet ideas,product-specific,Home Decor,1,65,65,5,7.69,3.82,solinadecor.com/bathroom-cabinet-ideas/,5
blueberry plants in pots,product-specific,Garden/Outdoor,1,74,74,6,8.11,3.82,floramood.com/blueberry-plants-in-pots/,6
wall design ideas,product-specific,Home Decor,1,238,238,14,5.88,3.82,artwallia.com/wall-design-ideas/,14
leather cargo pants outfit for women,outfit-style,Styling,1,8,8,1,12.5,3.81,ivystyling.com/leather-cargo-pants-outfit-for-women/,1
baby boy birthday cake,food-baking,Food/Recipe,1,46,46,1,2.17,3.81,lunapastry.com/baby-boy-birthday-cake/,1
bedroom ideas small spaces,room-ideas,Home Decor,2,37,19,4,10.81,3.81,homenory.com/bedroom-ideas-small-spaces/,3
baseball jacket outfit for women,outfit-style,Styling,1,8,8,1,12.5,3.81,stylingfact.com/baseball-jacket-outfit-for-women/,1
ballerina cake ideas,food-baking,Food/Recipe,1,46,46,1,2.17,3.81,sugardawn.com/ballerina-cake-ideas/,1
apple recipes with puff pastry,food-baking,Food/Recipe,1,46,46,1,2.17,3.81,bakeady.com/apple-recipes-with-puff-pastry/,1
bathroom staging ideas,room-ideas,Home Decor,1,33,33,3,9.09,3.8,houzerio.com/bathroom-staging-ideas/,3
mauve bathroom ideas,room-ideas,Home Decor,1,83,83,6,7.23,3.8,ivyrosedecor.com/mauve-bathroom-ideas/,6
mint green pants outfit for women,outfit-style,Styling,1,123,123,7,5.69,3.8,ivystyling.com/mint-green-pants-outfit-for-women/,7
italian ceramic home decor ideas,product-specific,Home Decor,1,33,33,3,9.09,3.8,ceramory.com/italian-ceramic-home-decor-ideas/,3
office and craft room ideas,room-ideas,Home Decor,1,49,49,4,8.16,3.79,homenory.com/office-and-craft-room-ideas/,4
accent wall ideas,product-specific,Home Decor,1,159,159,10,6.29,3.79,artwallia.com/accent-wall-ideas/,10
outdoor rugs porch,product-specific,Garden/Outdoor,1,49,49,4,8.16,3.79,rugsora.com/outdoor-rugs-porch/,4
mexican patio ideas,room-ideas,Garden/Outdoor,1,75,75,6,8,3.78,patizvo.com/mexican-patio-ideas/,6
raw vegan food recipes,food-recipe,Food/Recipe,1,115,115,2,1.74,3.78,eatveganly.com/raw-vegan-food-recipes/,2
pond backyard ideas,room-ideas,Garden/Outdoor,1,75,75,6,8,3.78,blosmia.com/pond-backyard-ideas/,6
garden border ideas,product-specific,Garden/Outdoor,1,59,59,5,8.47,3.78,yardzeno.com/garden-border-ideas/,5
rural fence ideas,product-specific,Garden/Outdoor,1,44,44,4,9.09,3.77,blosmia.com/rural-fence-ideas/,4
healthy veg lunch recipes indian,food-recipe,Food/Recipe,1,47,47,1,2.13,3.76,punsfordays.com/healthy-veg-lunch-recipes-indian/,1
dog urine odor out of wood floors,general,Home Decor,1,181,181,11,6.08,3.76,woodworkwizardry.com/how-to-get-dog-urine-odor-out-of-wood-floors/,11
coffee flavor ideas,food-recipe,Food/Recipe,1,47,47,1,2.13,3.76,brewnora.com/coffee-flavor-ideas/,1
short hair updos,hair-beauty,Hair/Beauty,1,195,195,10,5.13,3.75,stylingfox.com/short-hair-updos/,10
graduation outfit ideas for mom classy,outfit-style,Styling,1,61,61,4,6.56,3.75,hervoguelife.com/graduation-outfit-ideas-for-mom-classy/,4
craft ideas with paper,diy-craft,Wedding/Craft,1,690,690,25,3.62,3.75,diyvera.com/craft-ideas-with-paper/,25
outdoor brick wall decor ideas,room-ideas,Home Decor,1,30,30,1,3.33,3.75,stylekitcheny.com/outdoor-brick-wall-decor-ideas/,1
video game bedroom for boys,room-ideas,Home Decor,1,19,19,2,10.53,3.74,lylastudio.com/video-game-bedroom-for-boys/,2
living room movie night ideas,room-ideas,Home Decor,1,19,19,2,10.53,3.74,roomblr.com/living-room-movie-night-ideas/,2
low carb high protein recipes dinner,food-recipe,Food/Recipe,1,116,116,2,1.72,3.74,primejokes.com/low-carb-high-protein-recipes-dinner/,2
pool pump cover ideas,product-specific,Garden/Outdoor,1,30,30,3,10,3.74,grassora.com/pool-pump-cover-ideas/,3
mexican bathroom ideas,room-ideas,Home Decor,1,19,19,2,10.53,3.74,curtainza.com/mexican-bathroom-ideas/,2
round wood coffee table decor,product-specific,Home Decor,1,19,19,2,10.53,3.74,woodlyloom.com/round-wood-coffee-table-decor/,2
handmade coconut shell decor,product-specific,Home Decor,1,50,50,4,8,3.73,artelierahome.com/handmade-coconut-shell-decor/,4
lucky bamboo plants decor ideas,product-specific,Home Decor,1,85,85,6,7.06,3.73,betonry.com/lucky-bamboo-plants-decor-ideas/,6
dark vanity bathroom ideas,room-ideas,Home Decor,1,34,34,3,8.82,3.72,solinadecor.com/dark-vanity-bathroom-ideas/,3
kitchen curtains ideas,product-specific,Home Decor,1,34,34,3,8.82,3.72,curtainza.com/kitchen-curtains-ideas/,3
wall shelf ideas bedroom,product-specific,Home Decor,2,53,27,5,9.43,3.71,houzerio.com/wall-shelf-ideas-bedroom/,3
vintage bridal shower ideas,wedding-event,Wedding/Craft,1,74,74,4,5.41,3.7,eloralove.com/vintage-bridal-shower-ideas/,4
rock fountain ideas,product-specific,Garden/Outdoor,1,129,129,9,6.98,3.7,yardolio.com/rock-fountain-ideas/,9
tissue box ideas,product-specific,Home Decor,1,262,262,11,4.2,3.7,diyvera.com/tissue-box-ideas/,11
kid craft ideas,diy-craft,Wedding/Craft,1,74,74,4,5.41,3.7,diyvera.com/kid-craft-ideas/,4
low carb high protein recipes vegetarian,food-recipe,Food/Recipe,1,48,48,1,2.08,3.69,primejokes.com/low-carb-high-protein-recipes-vegetarian/,1
dash mini pie maker recipes,food-recipe,Food/Recipe,1,48,48,1,2.08,3.69,piejourney.com/dash-mini-pie-maker-recipes/,1
mediterranean diet recipes meal prep,food-recipe,Food/Recipe,1,48,48,1,2.08,3.69,mealssavvy.com/mediterranean-diet-recipes-meal-prep/,1
spanish tile bathroom,room-ideas,Home Decor,1,51,51,4,7.84,3.68,lylastudio.com/spanish-tile-bathroom/,4
oil free salad dressing recipes,food-recipe,Food/Recipe,1,119,119,2,1.68,3.67,saladnest.com/oil-free-salad-dressing-recipes/,2
garden wall ideas,product-specific,Garden/Outdoor,2,107,54,9,8.41,3.67,yardzeno.com/garden-wall-ideas/,9
garden hose hanger ideas,product-specific,Garden/Outdoor,1,31,31,3,9.68,3.66,slowgardenlife.com/garden-hose-hanger-ideas/,3
detox water recipes,food-recipe,Food/Recipe,1,120,120,2,1.67,3.66,steepbean.com/detox-water-recipes/,2
brown recliner living room decor,product-specific,Home Decor,1,35,35,3,8.57,3.65,cosaroom.com/brown-recliner-living-room-decor/,3
small tv unit design modern bedroom,product-specific,Home Decor,1,35,35,3,8.57,3.65,floriadecor.com/small-tv-unit-design-modern-bedroom/,3
kids beach bathroom,room-ideas,Home Decor,1,35,35,3,8.57,3.65,kidlura.com/kids-beach-bathroom/,3
white flowering perennials,product-specific,Garden/Outdoor,1,46,46,4,8.7,3.65,moonlightyard.com/white-flowering-perennials/,4
garage shoe storage,product-specific,Home Decor,1,35,35,3,8.57,3.65,organizaspace.com/garage-shoe-storage/,3
navy blue dress outfit wedding,outfit-style,Styling,1,107,107,6,5.61,3.64,stylingfox.com/navy-blue-dress-outfit-wedding/,6
cake designs for kids boys,food-baking,Food/Recipe,1,49,49,1,2.04,3.64,sugardawn.com/cake-designs-for-kids-boys/,1
dr sebi juice recipes,food-recipe,Food/Recipe,1,49,49,1,2.04,3.64,goteamnames.com/dr-sebi-juice-recipes/,1
gluten free dairy free brunch recipes,food-recipe,Food/Recipe,1,49,49,1,2.04,3.64,storyriddles.com/gluten-free-dairy-free-brunch-recipes/,1
sloped backyard ideas on a budget,room-ideas,Garden/Outdoor,1,96,96,7,7.29,3.64,floramood.com/sloped-backyard-ideas-on-a-budget/,7
mexican food recipes dessert,food-baking,Food/Recipe,1,49,49,1,2.04,3.64,mexifork.com/mexican-food-recipes-dessert/,1
best bbq sauce for pulled pork,food-recipe,Food/Recipe,1,49,49,1,2.04,3.64,grillerhood.com/best-bbq-sauce-for-pulled-pork/,1
red velvet cake decoration,food-baking,Food/Recipe,1,121,121,2,1.65,3.62,eraflavor.com/red-velvet-cake-decoration/,2
vintage laundry room decor,room-ideas,Home Decor,1,52,52,4,7.69,3.62,retrofyra.com/vintage-laundry-room-decor/,4
cube organizer ideas living room,product-specific,Home Decor,1,20,20,2,10,3.61,lylastudio.com/cube-organizer-ideas-living-room/,2
circle mirrors on wall living room,product-specific,Home Decor,1,20,20,2,10,3.61,roomblr.com/circle-mirrors-on-wall-living-room/,2
entryway ideas with bench,room-ideas,Home Decor,1,20,20,2,10,3.61,entryzo.com/entryway-ideas-with-bench/,2
kallax kids room,product-specific,Home Decor,1,300,300,16,5.33,3.61,kidlura.com/kallax-kids-room/,16
kitchen lighting ideas,product-specific,Home Decor,1,20,20,2,10,3.61,lampenza.com/kitchen-lighting-ideas/,2
white vases decor ideas ceramic,product-specific,Home Decor,1,20,20,2,10,3.61,ceramory.com/white-vases-decor-ideas-ceramic/,2
farmhouse porch railing,product-specific,Home Decor,1,108,108,7,6.48,3.61,farmsteadra.com/farmhouse-porch-railing/,7
living room mirror decor ideas,room-ideas,Home Decor,1,128,128,8,6.25,3.61,mirrorahome.com/living-room-mirror-decor-ideas/,8
vintage apartment decor,room-ideas,Home Decor,1,20,20,2,10,3.61,retrofyra.com/vintage-apartment-decor/,2
monster truck bedroom ideas,room-ideas,Home Decor,3,107,36,9,8.41,3.6,lyladecor.com/monster-truck-bedroom-ideas/,6
casual wedding attire for men,outfit-style,Styling,1,44,44,3,6.82,3.6,themaleedit.com/casual-wedding-attire-for-men/,3
birthday cake purple,food-baking,Food/Recipe,1,50,50,1,2,3.59,lilidessert.com/birthday-cake-purple/,1
juice recipes for immune system,food-recipe,Food/Recipe,1,50,50,1,2,3.59,goteamnames.com/juice-recipes-for-immune-system/,1
wood scrap projects diy home decor,diy-craft,Home Decor,1,213,213,12,5.63,3.59,woodlyloom.com/wood-scrap-projects-diy-home-decor/,12
under deck patio ideas,room-ideas,Garden/Outdoor,1,32,32,3,9.38,3.58,patizvo.com/under-deck-patio-ideas/,3
italian wedding cake,food-baking,Food/Recipe,1,11,11,1,9.09,3.58,marrivon.com/italian-wedding-cake/,1
enclosed front porch ideas,room-ideas,Home Decor,1,32,32,3,9.38,3.58,softlyoutdoor.com/enclosed-front-porch-ideas/,3
paver patio ideas,product-specific,Garden/Outdoor,1,135,135,9,6.67,3.57,artevohome.com/paver-patio-ideas/,9
narrow balcony ideas,room-ideas,Garden/Outdoor,1,90,90,6,6.67,3.57,balcivo.com/narrow-balcony-ideas/,6
garden trellis ideas,product-specific,Garden/Outdoor,1,18,18,2,11.11,3.57,blossivio.com/garden-trellis-ideas/,2
taupe sofa living room ideas,room-ideas,Home Decor,1,71,71,5,7.04,3.57,farmsteadra.com/taupe-sofa-living-room-ideas/,5
front porch bench ideas,product-specific,Home Decor,1,81,81,6,7.41,3.56,grassora.com/front-porch-bench-ideas/,6
wrought iron bedroom ideas,room-ideas,Home Decor,1,151,151,9,5.96,3.55,houzerio.com/wrought-iron-bedroom-ideas/,9
bollywood theme party outfit for women,outfit-style,Styling,1,134,134,7,5.22,3.55,stylingfox.com/bollywood-theme-party-outfit-for-women/,7
phyllo dough recipes dessert,food-baking,Food/Recipe,2,248,124,4,1.61,3.55,flavorcurry.com/phyllo-dough-recipes-dessert/,4
midnight blue bedroom ideas,room-ideas,Home Decor,1,7,7,1,14.29,3.53,cornerlily.com/midnight-blue-bedroom-ideas/,1
victorian bathroom decor,room-ideas,Home Decor,1,7,7,1,14.29,3.53,lyladecor.com/victorian-bathroom-decor/,1
bedroom with living room,room-ideas,Home Decor,1,7,7,1,14.29,3.53,namidecor.com/bedroom-with-living-room/,1
grey couch boho living room,room-ideas,Home Decor,1,7,7,1,14.29,3.53,namidecor.com/grey-couch-boho-living-room/,1
bedroom design with study table,room-ideas,Home Decor,1,7,7,1,14.29,3.53,roomblr.com/bedroom-design-with-study-table/,1
cream and grey living room,room-ideas,Home Decor,1,7,7,1,14.29,3.53,roomblr.com/cream-and-grey-living-room/,1
funky living room,room-ideas,Home Decor,1,7,7,1,14.29,3.53,roomierocket.com/funky-living-room/,1
comfy couches living room small spaces,product-specific,Home Decor,1,7,7,1,14.29,3.53,roomker.com/comfy-couches-living-room-small-spaces/,1
living room black wall,room-ideas,Home Decor,1,7,7,1,14.29,3.53,roomker.com/living-room-black-wall/,1
french fries seasoning recipes,food-recipe,Food/Recipe,1,51,51,1,1.96,3.53,jokesfordays.com/french-fries-seasoning-recipes/,1
open kitchen partition ideas,room-ideas,Home Decor,1,7,7,1,14.29,3.53,smallvia.com/open-kitchen-partition-ideas/,1
vegan rice cooker recipes,food-recipe,Food/Recipe,1,51,51,1,1.96,3.53,chocojoyful.com/vegan-rice-cooker-recipes/,1
blush pink nursery,room-ideas,Home Decor,1,7,7,1,14.29,3.53,nursora.com/blush-pink-nursery/,1
unique kitchen island ideas,product-specific,Kitchen,1,7,7,1,14.29,3.53,nursora.com/unique-kitchen-island-ideas/,1
glass water jug decor ideas,product-specific,Home Decor,1,7,7,1,14.29,3.53,glassoraa.com/glass-water-jug-decor-ideas/,1
handmade floral decor ideas,diy-craft,Home Decor,1,7,7,1,14.29,3.53,artelierahome.com/handmade-floral-decor-ideas/,1
long narrow backyard ideas,room-ideas,Garden/Outdoor,1,48,48,4,8.33,3.53,grassora.com/long-narrow-backyard-ideas/,4
cozy home bar with wooden decor,room-ideas,Home Decor,1,111,111,7,6.31,3.53,terrapurely.com/cozy-home-bar-with-wooden-decor/,7
green couch with pillows,product-specific,Home Decor,1,7,7,1,14.29,3.53,pillovio.com/green-couch-with-pillows/,1
cathedral mirror wall decor ideas,product-specific,Home Decor,1,7,7,1,14.29,3.53,mirrorahome.com/cathedral-mirror-wall-decor-ideas/,1
mantel decor with mirror,product-specific,Home Decor,1,7,7,1,14.29,3.53,mirrorahome.com/mantel-decor-with-mirror/,1
silver and wood decor living rooms,room-ideas,Home Decor,1,7,7,1,14.29,3.53,woodlyloom.com/silver-and-wood-decor-living-rooms/,1
cork board ideas for bedroom aesthetic,product-specific,Home Decor,2,57,29,5,8.77,3.52,craftboom.work/cork-board-ideas-for-bedroom-aesthetic/,4
irish dessert recipes,food-baking,Food/Recipe,2,1458,729,17,1.17,3.52,beanwhisper.com/irish-dessert-recipes/,13
vintage classroom decor,room-ideas,Home Decor,1,54,54,4,7.41,3.52,retrofyra.com/vintage-classroom-decor/,4
wall texture ideas,product-specific,Home Decor,1,154,154,9,5.84,3.5,artwallia.com/wall-texture-ideas/,9
wall paneling ideas,product-specific,Home Decor,1,37,37,3,8.11,3.5,artwallia.com/wall-paneling-ideas/,3
girls bedroom ideas age 8 10,room-ideas,Home Decor,2,42,21,4,9.52,3.49,roomviser.com/girls-bedroom-ideas-age-8-10/,4
couches living room small spaces,product-specific,Home Decor,1,21,21,2,9.52,3.49,roomwaves.com/couches-living-room-small-spaces/,2
farm bedroom ideas for boys,room-ideas,Home Decor,1,21,21,2,9.52,3.49,sleeprism.com/farm-bedroom-ideas-for-boys/,2
backyard trellis ideas,product-specific,Garden/Outdoor,1,33,33,3,9.09,3.49,blossivio.com/backyard-trellis-ideas/,3
gluten free recipes for a crowd,food-recipe,Food/Recipe,1,52,52,1,1.92,3.48,storyriddles.com/gluten-free-recipes-for-a-crowd/,1
watermelon juicing recipes healthy,food-recipe,Food/Recipe,1,52,52,1,1.92,3.48,toppuns.com/watermelon-juicing-recipes-healthy/,1
bean trellis ideas,product-specific,Garden/Outdoor,1,49,49,4,8.16,3.48,blossivio.com/bean-trellis-ideas/,4
finger sandwiches for tea party,food-recipe,Food/Recipe,1,489,489,6,1.23,3.48,brewnora.com/finger-sandwiches-for-tea-party/,6
healthy juice shots recipes,food-recipe,Food/Recipe,1,301,301,4,1.33,3.47,toppuns.com/healthy-juice-shots-recipes/,4
gluten free mexican dessert recipes,food-baking,Food/Recipe,2,40,20,1,2.5,3.47,dessertcove.com/gluten-free-mexican-dessert-recipes/,1
pancake mix dessert recipes,food-baking,Food/Recipe,1,53,53,1,1.89,3.44,jokesfordays.com/pancake-mix-dessert-recipes/,1
veg salad recipes indian healthy,food-recipe,Food/Recipe,1,53,53,1,1.89,3.44,punsfordays.com/veg-salad-recipes-indian-healthy/,1
victorian front garden,room-ideas,Garden/Outdoor,1,19,19,2,10.53,3.44,yardzeno.com/victorian-front-garden/,2
ottoman living room ideas,product-specific,Home Decor,1,38,38,3,7.89,3.43,lylastudio.com/ottoman-living-room-ideas/,3
envelopes decoration ideas,diy-craft,Wedding/Craft,1,136,136,6,4.41,3.43,diyvera.com/envelopes-decoration-ideas/,6
gluten free vegan recipes,food-recipe,Food/Recipe,2,41,21,1,2.44,3.42,eatlina.com/gluten-free-vegan-recipes/,1
gravel flower bed ideas,room-ideas,Garden/Outdoor,1,34,34,3,8.82,3.42,blosmia.com/gravel-flower-bed-ideas/,3
high protein low carb recipes meal prep,food-recipe,Food/Recipe,2,183,92,3,1.64,3.39,primejokes.com/high-protein-low-carb-recipes-meal-prep/,3
dog run ideas backyard,room-ideas,Garden/Outdoor,1,105,105,7,6.67,3.39,yardolio.com/dog-run-ideas-backyard/,7
cozy lamps living room,product-specific,Home Decor,1,22,22,2,9.09,3.38,cosaroom.com/cozy-lamps-living-room/,2
parents anniversary ideas,wedding-event,Wedding/Craft,1,33,33,2,6.06,3.38,eloralove.com/parents-anniversary-ideas/,2
sourdough cut designs,food-baking,Food/Recipe,1,54,54,1,1.85,3.38,lunapastry.com/sourdough-cut-designs/,1
kitchenaid ice cream maker recipes dairy free,food-recipe,Food/Recipe,1,54,54,1,1.85,3.38,freshdairyfree.com/kitchenaid-ice-cream-maker-recipes-dairy-free/,1
i seal painted wood,diy-craft,Home Decor,1,57,57,4,7.02,3.38,woodworkwizardry.com/how-do-i-seal-painted-wood/,4
craftsman fireplace,product-specific,Home Decor,1,57,57,4,7.02,3.38,firesidea.com/craftsman-fireplace/,4
practical wedding favors,wedding-event,Wedding/Craft,1,12,12,1,8.33,3.38,marrivon.com/practical-wedding-favors/,1
disney bedroom for adults,pop-culture,Home Decor,1,39,39,3,7.69,3.37,roomblr.com/disney-bedroom-for-adults/,3
plants for tall planters outdoor,product-specific,Garden/Outdoor,1,125,125,8,6.4,3.37,floramood.com/plants-for-tall-planters-outdoor/,8
mirror in dining room,product-specific,Home Decor,1,39,39,3,7.69,3.37,dinezoa.com/mirror-in-dining-room/,3
trellis ideas for privacy,product-specific,Garden/Outdoor,2,54,27,5,9.26,3.36,grassora.com/trellis-ideas-for-privacy/,4
small bathroom with tub,room-ideas,Home Decor,1,77,77,5,6.49,3.36,homenory.com/small-bathroom-with-tub/,5
grey floor bathroom ideas,room-ideas,Home Decor,1,35,35,1,2.86,3.36,bohozora.com/grey-floor-bathroom-ideas/,1
flower cart ideas,product-specific,Garden/Outdoor,1,146,146,9,6.16,3.35,blosmia.com/flower-cart-ideas/,9
60th birthday cake ideas for mom,food-baking,Food/Recipe,1,55,55,1,1.82,3.34,rosabake.com/60th-birthday-cake-ideas-for-mom/,1
best paint for denim fabric,diy-craft,Wedding/Craft,1,58,58,4,6.9,3.34,homeypaint.com/best-paint-for-denim-fabric/,4
handmade owl decor ideas,diy-craft,Home Decor,1,58,58,4,6.9,3.34,artelierahome.com/handmade-owl-decor-ideas/,4
country rustic bedroom ideas,room-ideas,Home Decor,1,8,8,1,12.5,3.34,minimalura.com/country-rustic-bedroom-ideas/,1
vintage aesthetic room,room-ideas,Home Decor,1,58,58,4,6.9,3.34,retrofyra.com/vintage-aesthetic-room/,4
60th birthday outfit ideas for women,outfit-style,Styling,1,28,28,2,7.14,3.33,hervoguelife.com/60th-birthday-outfit-ideas-for-women/,2
fancy cowboy outfits for men,outfit-style,Styling,1,28,28,2,7.14,3.33,themaleedit.com/fancy-cowboy-outfits-for-men/,2
grape vine trellis,product-specific,Garden/Outdoor,1,210,210,12,5.71,3.33,slowgardenlife.com/grape-vine-trellis/,12
white and black outfits for women,outfit-style,Styling,1,28,28,2,7.14,3.33,femshades.com/white-and-black-outfits-for-women/,2
mid century modern bathroom tile,product-specific,Home Decor,1,78,78,5,6.41,3.32,lyladecor.com/mid-century-modern-bathroom-tile/,5
pink and blonde hair,hair-beauty,Hair/Beauty,1,10,10,1,10,3.32,stylingfact.com/pink-and-blonde-hair/,1
yellow skirt outfit,outfit-style,Styling,1,10,10,1,10,3.32,stylingfact.com/yellow-skirt-outfit/,1
well soon gift ideas,general,Lifestyle,1,10,10,1,10,3.32,hugnify.com/blogs/news/get-well-soon-gift-ideas,1
deer head decor living room farmhouse,product-specific,Home Decor,1,40,40,3,7.5,3.31,cosaroom.com/deer-head-decor-living-room-farmhouse/,3
salmon brine recipe smoked,food-recipe,Food/Recipe,1,224,224,3,1.34,3.31,bbqhustle.com/salmon-brine-recipe-smoked/,3
clothes for men over 50,outfit-style,Styling,1,72,72,4,5.56,3.31,themaleedit.com/clothes-for-men-over-50/,4
indian bathroom tiles design,room-ideas,Home Decor,1,59,59,4,6.78,3.3,floriadecor.com/indian-bathroom-tiles-design/,4
trader joes spinach artichoke dip recipes,food-recipe,Food/Recipe,1,56,56,1,1.79,3.3,healthybaat.com/trader-joes-spinach-artichoke-dip-recipes/,1
alpha gal dessert recipes,food-baking,Food/Recipe,1,56,56,1,1.79,3.3,soeasydiy.com/alpha-gal-dessert-recipes/,1
campbells french onion soup recipes,food-recipe,Food/Recipe,1,56,56,1,1.79,3.3,jokesfordays.com/campbells-french-onion-soup-recipes/,1
indian snack recipes street food,food-recipe,Food/Recipe,2,112,56,2,1.79,3.3,punsfordays.com/indian-snack-recipes-street-food/,2
best paint for rv exterior,general,Other,1,59,59,4,6.78,3.3,homeypaint.com/best-paint-for-rv-exterior/,4
native american herbal remedies,general,Lifestyle,1,56,56,1,1.79,3.3,steepbean.com/native-american-herbal-remedies/,1
ideas for small vegetable garden,room-ideas,Garden/Outdoor,1,90,90,6,6.67,3.28,slowgardenlife.com/ideas-for-small-vegetable-garden/,6
best spray paint for wrought iron,general,Other,1,23,23,2,8.7,3.28,homeypaint.com/best-spray-paint-for-wrought-iron/,2
decorate a balcony for privacy,room-ideas,Garden/Outdoor,1,23,23,2,8.7,3.28,balcivo.com/how-to-decorate-a-balcony-for-privacy/,2
front porch landscaping ideas,room-ideas,Garden/Outdoor,1,53,53,4,7.55,3.28,softlyoutdoor.com/front-porch-landscaping-ideas/,4
living room lighting ideas,room-ideas,Home Decor,1,23,23,2,8.7,3.28,lampenza.com/living-room-lighting-ideas/,2
ceramic wall decor ideas,product-specific,Home Decor,1,23,23,2,8.7,3.28,ceramory.com/ceramic-wall-decor-ideas/,2
small open kitchen ideas,room-ideas,Home Decor,1,23,23,2,8.7,3.28,farmsteadra.com/small-open-kitchen-ideas/,2
bathroom tile trends,room-ideas,Home Decor,1,215,215,11,5.12,3.27,solinadecor.com/2026-bathroom-tile-trends/,11
bathroom smell hacks,general,Home Decor,1,8,8,1,12.5,3.26,celenastudio.com/bathroom-smell-hacks/,1
gas heaters living room,product-specific,Home Decor,1,8,8,1,12.5,3.26,emmydecor.com/gas-heaters-living-room/,1
brown curtains living room,product-specific,Home Decor,1,8,8,1,12.5,3.26,namidecor.com/brown-curtains-living-room/,1
living room chairs ideas small spaces,product-specific,Home Decor,1,8,8,1,12.5,3.26,roomierocket.com/living-room-chairs-ideas-small-spaces/,1
colourful kitchen ideas,room-ideas,Home Decor,1,8,8,1,12.5,3.26,seasonrae.com/colourful-kitchen-ideas/,1
recipes for afternoon tea parties food,food-recipe,Food/Recipe,1,424,424,5,1.18,3.26,tealeafcup.com/recipes-for-afternoon-tea-parties-food/,5
bay window ideas,product-specific,Home Decor,1,80,80,5,6.25,3.26,curtainza.com/bay-window-ideas/,5
ceramic lantern decor ideas,product-specific,Home Decor,1,8,8,1,12.5,3.26,ceramory.com/ceramic-lantern-decor-ideas/,1
candle and greenery table decor,product-specific,Home Decor,1,8,8,1,12.5,3.26,lumelith.com/candle-and-greenery-table-decor/,1
floor mirror decor ideas,product-specific,Home Decor,1,8,8,1,12.5,3.26,mirrorahome.com/floor-mirror-decor-ideas/,1
cottage core bathroom,room-ideas,Home Decor,1,41,41,3,7.32,3.25,floriadecor.com/cottage-core-bathroom/,3
backyard fence ideas,product-specific,Garden/Outdoor,1,72,72,5,6.94,3.25,lawnoria.com/backyard-fence-ideas/,5
bay window treatments,product-specific,Home Decor,1,60,60,4,6.67,3.25,curtainza.com/bay-window-treatments/,4
cherry wood living room decor,room-ideas,Home Decor,1,41,41,3,7.32,3.25,woodlyloom.com/cherry-wood-living-room-decor/,3
guest room nightstand,product-specific,Home Decor,1,7,7,1,14.29,3.24,lodgvia.com/guest-room-nightstand/,1
recipes using french baguette,food-recipe,Food/Recipe,1,57,57,1,1.75,3.24,jokesfordays.com/recipes-using-french-baguette/,1
spring recipes dessert,food-baking,Food/Recipe,1,57,57,1,1.75,3.24,freshdairyfree.com/spring-recipes-dessert/,1
vegan ninja creami recipes,food-recipe,Food/Recipe,1,57,57,1,1.75,3.24,flavorcurry.com/vegan-ninja-creami-recipes/,1
almond flour bread recipes,food-baking,Food/Recipe,1,328,328,4,1.22,3.23,yummyguru.com/almond-flour-bread-recipes/,4
low sodium freezer meals for two,food-recipe,Food/Recipe,1,329,329,4,1.22,3.23,soeasydiy.com/low-sodium-freezer-meals-for-two/,4
murphy bed designs,product-specific,Home Decor,1,37,37,3,8.11,3.22,artevohome.com/murphy-bed-designs/,3
ground pool steps ideas,product-specific,Garden/Outdoor,1,37,37,3,8.11,3.22,softlyoutdoor.com/above-ground-pool-steps-ideas/,3
horse bedroom teens,room-ideas,Home Decor,1,61,61,4,6.56,3.21,roomwaves.com/horse-bedroom-teens/,4
sourdough bread art,diy-craft,Food/Recipe,1,331,331,4,1.21,3.21,sugardawn.com/sourdough-bread-art/,4
wainscoting ideas bathroom,room-ideas,Home Decor,1,21,21,2,9.52,3.21,patizvo.com/wainscoting-ideas-bathroom/,2
leftover pork ribs recipes,food-recipe,Food/Recipe,1,141,141,2,1.42,3.21,porkydish.com/leftover-pork-ribs-recipes/,2
